category,eurusd_change_after_event,gold_change_after_event,oil_change_after_event
Airport,-0.4624419458628437,-1.440831022373874,4.777725229544679
Civilian commercial,-0.4624419458628437,-1.440831022373874,4.777725229544679
US/UAE military base,-0.4624419458628437,-1.440831022373874,4.777725229544679
Leadership,-0.4624419458628437,-1.440831022373874,4.777725229544679
Naval base,-0.4624419458628437,-1.440831022373874,4.777725229544679
Military command,-0.4624419458628437,-1.440831022373874,4.777725229544679
Paramilitary HQ,-0.4624419458628437,-1.440831022373874,4.777725229544679
Civilian airport,-0.33965393366516605,0.5508427712756669,2.770912508359775
US military base,-0.34683816629888486,-0.978012487572828,2.587413596505895
Political,-0.1170027319932287,0.2947032117046487,1.5600231322107971
Nuclear,-0.29532275541605424,0.6581157081705378,1.4159613942680707
Diplomatic,0.03321343120677082,0.10468430505266468,1.1363539376557343
Military,-0.08132793407395811,-0.9280690105747161,0.06685268559166486
Economic,0.040776514957367435,-0.19883852149900905,-1.2443329492869792
Airport/Military,0.2352168198876914,-0.884525103701046,-2.2983930736646707
Military airport,0.2352168198876914,-0.884525103701046,-2.2983930736646707
Water infrastructure,0.3672176369020064,-2.10379762480998,-2.3161818604879154
Energy infrastructure,0.4348624709268889,-0.0277444906234203,-2.418556982801299
